PseudoTimeSec,PseudoTimestamp,UF-FP1,UF-FP2,UF-O1,UF-O2,UF-C3,UF-CZ,UF-FZ,UF-C4
0.004,09-21-2026 21:18:29:345,-180633.209,170893.481,126928.136,66265.189,112010.224,24249.72,-204408.178,35201.539
0.008,09-21-2026 21:18:29:349,-166152.631,173120.609,126001.88,70883.953,111278.517,42454.412,-198641.607,38400.163
0.012,09-21-2026 21:18:29:353,-174978.888,171775.928,126407.117,66603.147,112110.002,29369.79,-202518.294,33294.667
0.016,09-21-2026 21:18:29:357,-183529.324,170473.268,126986.027,64012.133,112619.98,18940.019,-204456.637,31572.331
0.02,09-21-2026 21:18:29:361,-181736.491,170725.396,127010.837,65927.23,112110.002,23111.927,-204408.178,34955.491
0.024,09-21-2026 21:18:29:365,-170703.67,172406.247,126390.577,70264.363,111234.172,38282.503,-203051.338,39199.819
0.028,09-21-2026 21:18:29:369,-166290.541,173078.587,126026.69,70996.606,111300.69,42644.044,-198786.983,38584.699
0.032,09-21-2026 21:18:29:373,-173461.875,172028.055,126365.766,67391.717,111988.051,31266.112,-202082.166,33909.787
0.036,09-21-2026 21:18:29:377,-183115.594,170557.311,126936.406,64068.459,112531.288,18940.019,-204456.637,31449.307
0.04,09-21-2026 21:18:29:381,-182012.311,170683.374,126986.027,65701.925,112098.916,22353.398,-204505.095,34709.443
0.044,09-21-2026 21:18:29:385,-171255.311,172322.204,126332.686,70039.057,111245.258,37523.974,-203196.714,39015.283
0.048,09-21-2026 21:18:29:389,-166014.721,173141.619,125960.529,71165.585,111223.085,42833.676,-198544.69,38707.723
0.052,09-21-2026 21:18:29:393,-172634.414,172154.119,126274.794,67617.022,111899.359,32024.641,-201742.956,34032.811
0.056,09-21-2026 21:18:29:397,-182701.863,170599.332,126919.866,64124.786,112509.115,18940.019,-204505.095,31387.795
0.06,09-21-2026 21:18:29:401,-181874.401,170704.385,126986.027,65701.925,112110.002,21974.134,-204553.554,34586.419
0.064,09-21-2026 21:18:29:405,-171117.401,172343.215,126357.496,70095.384,111256.344,37334.342,-203439.007,38953.771
0.068,09-21-2026 21:18:29:409,-166428.452,173078.587,125993.61,70940.279,111256.344,41885.515,-199610.779,38400.163
0.072,09-21-2026 21:18:29:413,-174427.247,171859.97,126374.036,66941.105,112010.224,29369.79,-202663.669,33356.179
0.07600001,09-21-2026 21:18:29:417,-183115.594,170557.311,126928.136,64181.112,112564.547,18750.387,-204650.471,31387.795
0.08000001,09-21-2026 21:18:29:421,-181460.67,170788.428,126936.406,65983.557,112065.656,22922.295,-204650.471,34770.955
0.08400001,09-21-2026 21:18:29:425,-170565.76,172427.258,126316.145,70320.689,111211.999,38092.871,-203487.465,39076.795
0.08800001,09-21-2026 21:18:29:429,-166152.631,173141.619,125960.529,71052.932,111211.999,42454.412,-199610.779,38461.675
0.09200001,09-21-2026 21:18:29:433,-174013.516,171965.024,126340.956,67110.085,111988.051,29749.054,-202663.669,33417.691
0.096,09-21-2026 21:18:29:437,-182839.773,170620.343,126919.866,64293.765,112542.374,18940.019,-204698.93,31387.795
0.1,09-21-2026 21:18:29:441,-181460.67,170809.438,126936.406,65983.557,112054.57,22732.663,-204698.93,34647.931
0.104,09-21-2026 21:18:29:445,-170565.983,172459.399,126305.774,70303.657,111198.275,38249.378,-203622.872,39076.974
0.108,09-21-2026 21:18:29:449,-165930.857,173196.56,125971.034,71192.005,111209.048,42657.187,-199763.709,38590.6
0.112,09-21-2026 21:18:29:453,-173656.067,172025.776,126342.967,67249.962,111963.196,30200.336,-202745.79,33544.47
0.116,09-21-2026 21:18:29:457,-182504.944,170681.542,126910.165,64362.832,112544.967,19276.636,-204806.933,31477.381
0.12,09-21-2026 21:18:29:461,-181240.819,170854.991,126956.657,66028.484,112092.479,22917.869,-204806.933,34638.811
0.124,09-21-2026 21:18:29:465,-170285.066,172524.443,126342.967,70414.701,111219.822,38441.022,-203666.726,39076.974
0.128,09-21-2026 21:18:29:469,-165228.565,173304.966,125980.333,71414.092,111198.275,43423.762,-199500.585,38772.99
0.132,09-21-2026 21:18:29:473,-172111.025,172285.95,126305.774,67749.657,111898.555,32308.418,-202351.103,34030.844
0.136,09-21-2026 21:18:29:477,-181662.194,170833.31,126928.762,64473.875,112501.873,19851.568,-204806.933,31477.381
0.14,09-21-2026 21:18:29:481,-181381.277,170854.991,127040.342,65750.875,112124.799,21959.65,-204894.642,34395.624
0.144,09-21-2026 21:18:29:485,-170285.066,172524.443,126417.354,70303.657,111252.142,37866.09,-203842.143,39016.177
0.148,09-21-2026 21:18:29:489,-164947.649,173391.691,126045.421,71414.092,111198.275,43615.406,-199588.293,38833.787
0.152,09-21-2026 21:18:29:493,-170987.358,172459.399,126324.371,68027.266,111855.461,33458.282,-202087.978,34334.828
0.156,09-21-2026 21:18:29:497,-181381.277,170876.672,126975.253,64362.832,112501.873,19659.924,-204894.642,31416.584
0.16,09-21-2026 21:18:29:501,-181662.194,170833.31,127096.132,65528.788,112167.893,21193.075,-204982.35,34152.437
0.164,09-21-2026 21:18:29:505,-170425.525,172524.443,126473.144,70137.092,111306.01,37482.803,-204061.413,38955.38
0.168,09-21-2026 21:18:29:509,-164807.19,173391.691,126054.719,71414.092,111230.595,43615.406,-199939.126,38894.583
0.172,09-21-2026 21:18:29:513,-170846.9,172502.762,126305.774,68082.788,111866.234,33649.925,-202219.54,34334.828
0.176,09-21-2026 21:18:29:517,-181381.277,170898.354,126984.552,64362.832,112523.42,19659.924,-204938.496,31355.787
0.18,09-21-2026 21:18:29:521,-181521.735,170854.991,127124.027,65473.266,112200.214,21193.075,-205070.058,34091.641
0.184,09-21-2026 21:18:29:525,-170285.066,172546.124,126501.039,70137.092,111327.557,37482.803,-204105.267,38955.38
0.188,09-21-2026 21:18:29:529,-164666.732,173435.053,126091.913,71414.092,111241.369,43615.406,-200026.834,38894.583
0.192,09-21-2026 21:18:29:533,-170706.441,172524.443,126380.161,68082.788,111920.102,33458.282,-202307.248,34334.828
0.196,09-21-2026 21:18:29:537,-180959.902,170963.397,127031.043,64473.875,112566.514,19851.568,-204982.35,31416.584
0.2,09-21-2026 21:18:29:541,-181240.819,170898.354,127151.922,65584.31,112232.535,21384.719,-205070.058,34152.437
0.204,09-21-2026 21:18:29:545,-169851.443,172615.102,126496.881,70273.661,111345.483,37953.351,-204102.317,38993.602
0.208,09-21-2026 21:18:29:549,-164217.015,173503.807,126094.55,71525.627,111236.854,43917.87,-199889.103,38993.602
0.212,09-21-2026 21:18:29:553,-170555.746,172548.449,126398.534,67997.359,111921.219,33335.66,-202378.729,34308.81
0.216,09-21-2026 21:18:29:557,-180556.855,171037.65,127015.442,64525.999,112562.133,20252.2,-205011.988,31510.104
0.22,09-21-2026 21:18:29:561,-180979.437,170948.779,127149.552,65550.335,112225.382,21406.623,-205155.621,34065.444
0.224,09-21-2026 21:18:29:565,-169710.582,172659.537,126496.881,70216.754,111334.62,37953.351,-204150.194,38993.602
0.228,09-21-2026 21:18:29:569,-164076.154,173548.242,126094.55,71468.719,111225.991,43917.87,-200032.735,38993.602
0.232,09-21-2026 21:18:29:573,-170414.885,172592.884,126380.652,67997.359,111910.357,33335.66,-202474.484,34308.81
0.236,09-21-2026 21:18:29:577,-180415.995,171059.867,127015.442,64525.999,112572.996,20252.2,-205107.743,31510.104
0.24,09-21-2026 21:18:29:581,-180979.437,170970.997,127167.434,65493.428,112247.108,21214.219,-205203.498,34004.603
0.244,09-21-2026 21:18:29:585,-169710.582,172681.755,126532.644,70216.754,111356.346,37760.948,-204245.949,38993.602
0.248,09-21-2026 21:18:29:589,-163935.293,173592.678,126112.431,71525.627,111225.991,44110.274,-200032.735,39054.443
0.252,09-21-2026 21:18:29:593,-169992.303,172681.755,126398.534,68111.174,111921.219,33720.468,-202330.852,34430.493
0.256,09-21-2026 21:18:29:597,-180134.273,171148.738,127069.086,64582.907,112605.585,20444.604,-205107.743,31510.104
0.26,09-21-2026 21:18:29:601,-180697.716,171037.65,127203.197,65550.335,112290.56,21406.623,-205251.375,34004.603
0.264,09-21-2026 21:18:29:605,-169569.721,172726.19,126532.644,70216.754,111421.524,37953.351,-204198.072,38993.602
0.268,09-21-2026 21:18:29:609,-163512.711,173659.33,126094.55,71639.442,111247.717,44495.081,-199649.715,39115.285
0.272,09-21-2026 21:18:29:613,-169147.139,172837.278,126371.712,68452.62,111899.494,34682.487,-201804.2,34673.859
0.276,09-21-2026 21:18:29:617,-179570.83,171237.608,127042.264,64696.722,112605.585,20829.412,-205107.743,31570.945
0.28,09-21-2026 21:18:29:621,-180556.855,171082.085,127212.137,65550.335,112312.286,21214.219,-205251.375,34004.603
0.284,09-21-2026 21:18:29:625,-169288,172815.06,126541.585,70273.661,111432.387,37953.351,-204054.44,39054.443
0.288,09-21-2026 21:18:29:629,-163090.129,173770.419,126103.491,71753.257,111247.717,44687.485,-199170.941,39236.967
0.292,09-21-2026 21:18:29:633,-168865.418,172903.931,126371.712,68452.62,111910.357,34874.89,-201660.568,34734.7
0.296,09-21-2026 21:18:29:637,-179289.109,171326.479,127051.205,64696.722,112605.585,20829.412,-205107.743,31631.786
0.3,09-21-2026 21:18:29:641,-180697.716,171082.085,127230.019,65379.612,112344.874,21021.816,-205251.375,33882.92
0.304,09-21-2026 21:18:29:645,-169344.326,172840.228,126559.779,70231.55,111436.812,37934.308,-204122.791,39079.611
0.308,09-21-2026 21:18:29:649,-163228.129,173777.124,126107.156,71641.945,111267.833,44521.143,-199246.535,39264.147
0.312,09-21-2026 21:18:29:653,-168449.273,172974.071,126358.614,68539.076,111909.954,35139.893,-201370.844,34896.795
0.316,09-21-2026 21:18:29:657,-179339.088,171323.35,127052.635,64589.97,112642.197,20768.615,-205088.387,31575.147
0.32,09-21-2026 21:18:29:661,-180830.843,171100.279,127243.743,65266.96,112383.096,20569.014,-205281.506,33789.579
0.324,09-21-2026 21:18:29:665,-169642.677,172795.614,126569.838,70062.303,111493.139,37535.106,-204074.511,38956.587
0.328,09-21-2026 21:18:29:669,-163228.129,173799.431,126127.273,71641.945,111279.099,44521.143,-199246.535,39264.147
0.332,09-21-2026 21:18:29:673,-168747.624,172974.071,126388.788,68426.245,111943.75,34940.292,-201563.963,34835.283
0.336,09-21-2026 21:18:29:677,-179339.088,171345.657,127072.752,64646.386,112653.463,20768.615,-205088.387,31575.147
0.34,09-21-2026 21:18:29:681,-181129.194,171055.665,127283.976,65154.128,112428.157,20169.812,-205329.785,33728.067
0.344,09-21-2026 21:18:29:685,-169791.853,172795.614,126630.187,70062.303,111526.935,37335.505,-204219.351,38956.587
0.348,09-21-2026 21:18:29:689,-163526.48,173777.124,126187.623,71641.945,111324.16,44321.542,-199391.374,39325.659
0.352,09-21-2026 21:18:29:693,-168449.273,173018.685,126429.022,68595.492,111955.015,35339.494,-201226.005,34958.307
0.356,09-21-2026 21:18:29:697,-179488.263,171367.964,127123.043,64589.97,112687.258,20768.615,-205088.387,31636.659
0.36,09-21-2026 21:18:29:701,-181278.37,171077.972,127334.267,65154.128,112450.688,20169.812,-205329.785,33666.555
0.364,09-21-2026 21:18:29:705,-170090.204,172773.307,126660.362,69949.471,111549.465,36936.302,-204219.351,38895.075
0.368,09-21-2026 21:18:29:709,-163377.304,173799.431,126187.623,71641.945,111301.629,44321.542,-199391.374,39325.659
0.372,09-21-2026 21:18:29:713,-168598.448,173018.685,126408.905,68482.66,111932.485,35339.494,-201419.124,34958.307
0.376,09-21-2026 21:18:29:717,-179339.088,171390.271,127102.927,64646.386,112664.728,20768.615,-205088.387,31636.659
0.38,09-21-2026 21:18:29:721,-181576.721,171033.358,127344.325,64984.881,112450.688,19770.61,-205329.785,33543.531
0.384,09-21-2026 21:18:29:725,-170388.555,172751,126700.595,69893.056,111560.731,36736.701,-204412.47,38833.563
0.388,09-21-2026 21:18:29:729,-163974.007,173732.51,126237.914,71472.698,111312.894,43922.34,-200019.011,39264.147
0.392,09-21-2026 21:18:29:733,-169045.975,172974.071,126469.255,68482.66,111955.015,34940.292,-201563.963,34958.307
0.396,09-21-2026 21:18:29:737,-180084.965,171301.043,127153.218,64477.138,112698.524,20369.413,-205136.666,31513.635
0.4,09-21-2026 21:18:29:741,-182173.423,170966.437,127384.559,64815.633,112484.483,19171.806,-205378.065,33420.507
0.404,09-21-2026 21:18:29:745,-171341.052,172628.423,126746.55,69613.256,111617.638,35769.72,-204568.798,38682.197
0.408,09-21-2026 21:18:29:749,-164724.221,173637.47,126272.693,71349.898,111345.126,43216.964,-200659.612,39165.71
0.412,09-21-2026 21:18:29:753,-169686.844,172880.685,126500.145,68310.776,111980.988,34593.84,-202139.789,34874.533
0.416,09-21-2026 21:18:29:757,-180514.387,171252.45,127191.976,64457.603,112719.043,20091.313,-205176.05,31489.942
0.42,09-21-2026 21:18:29:761,-183221.273,170816.725,127438.382,64674.683,112548.722,18327.492,-205441.723,33242.677
0.424,09-21-2026 21:18:29:765,-171942.582,172513.759,126774.982,69558.986,111651.702,35181.78,-204758.564,38561.319
0.428,09-21-2026 21:18:29:769,-165626.516,173499.873,126282.171,71187.087,111390.544,42629.024,-201646.397,39105.271
0.432,09-21-2026 21:18:29:773,-170288.374,172811.886,126490.668,68365.046,112026.407,34397.86,-202671.135,34934.972
0.436,09-21-2026 21:18:29:777,-180815.152,171206.584,127163.545,64457.603,112753.107,20091.313,-205251.957,31489.942
0.44,09-21-2026 21:18:29:781,-183522.038,170793.792,127409.95,64620.413,112548.722,18327.492,-205479.676,33182.238
0.444,09-21-2026 21:18:29:785,-172243.347,172467.893,126756.028,69558.986,111663.057,35181.78,-204796.517,38561.319
0.448,09-21-2026 21:18:29:789,-165776.898,173476.94,126291.648,71295.628,111401.899,42825.004,-201684.35,39165.71
0.452,09-21-2026 21:18:29:793,-169987.609,172834.819,126481.191,68527.856,112003.697,34985.8,-202443.415,35055.85
0.456,09-21-2026 21:18:29:797,-180965.535,171183.651,127163.545,64457.603,112764.461,20287.293,-205251.957,31489.942
0.46,09-21-2026 21:18:29:801,-183522.038,170770.859,127428.904,64674.683,112571.432,18327.492,-205479.676,33182.238
0.464,09-21-2026 21:18:29:805,-172694.495,172399.094,126784.459,69450.446,111697.121,34985.8,-204834.471,38500.88
0.468,09-21-2026 21:18:29:809,-165776.898,173476.94,126301.125,71295.628,111401.899,42825.004,-201912.07,39165.71
0.472,09-21-2026 21:18:29:813,-170137.992,172834.819,126481.191,68527.856,112026.407,34985.8,-202822.948,35055.85
0.476,09-21-2026 21:18:29:817,-180664.769,171206.584,127135.113,64620.413,112753.107,20679.253,-205251.957,31550.381
0.48,09-21-2026 21:18:29:821,-183822.803,170724.993,127381.519,64566.143,112594.141,18327.492,-205479.676,33061.359
0.484,09-21-2026 21:18:29:825,-172844.878,172376.162,126718.119,69450.446,111719.83,34985.8,-204872.424,38500.88
0.488,09-21-2026 21:18:29:829,-166077.663,173431.074,126234.785,71241.357,111424.608,42825.004,-202063.883,39165.71
0.492,09-21-2026 21:18:29:833,-169987.609,172857.752,126414.851,68636.396,112026.407,35377.76,-202595.228,35176.728
0.496,09-21-2026 21:18:29:837,-180965.535,171183.651,127097.205,64511.873,112787.171,20679.253,-205214.003,31550.381
0.5,09-21-2026 21:18:29:841,-183822.803,170724.993,127381.519,64566.143,112628.205,18327.492,-205479.676,33061.359
